,report_name,report_period,pbls_year,sector
88,2009 지속가능경영보고서,2008.01~2008.12,2009,Public Agency
89,2009 지속가능경영보고서,2009.01~2009.12,2010,Consumer Durables
90,2009 지속가능경영보고서,2009.01~2009.12,2010,Household and Personal Products
91,2009 지속가능경영보고서,2009.01~2009.12,2010,Technology Hardware
92,2009 지속가능경영보고서,2009.01~2009.12,2010,은행
93,2009 지속가능경영보고서,2009.01~2009.12,2010,조선
94,2009 지속가능경영보고서,2009.01~2009.12,2010,종합식품
95,2009 지속가능성 보고서 Korea EAST WEST Power,2008.01~2008.12,2010,Energy
96,2009 지속가능성 보고서,2008.01~2008.12,2009,화장품
97,2009 지속가능성 보고서,2009.01~2009.12,2010,Chemicals
98,2009 지속가능성 보고서,2009.01~2009.12,2010,Conglomerates
99,2009 지속가능성 보고서,2009.01~2009.12,2010,Telecommunications
100,2009 지속가능희망보고서,2009.01~2009.12,2010,Non-Profit&Services
101,2009 지속경영보고서,2008.01~2008.12,2009,전기&전자 부품
102,2009 페더럴익스프레스코리아 글로벌기업시민보고서,2008.01~2008.12,2009,Logistics
103,2009 풀무원 지속경영보고서,2009.01~2009.12,2010,Food and Beverage Products
104,2009 한국산업단지공단 사회책임경영보고서,2009.01~2009.12,2010,SOC시설관리
105,2009 홈플러스 지속가능성보고서,2008.03~2009.02,2010,할인점
106,2009-2010 지속가능경영보고서,2009.01~2009.12,2010,Consumer Durables
107,2009년 지속가능성 보고서,2009.01~2009.12,2010,환경가전
108,2009지속가능경영보고서,2008.01~2008.12,2009,Energy
109,2010 NanoEnTek CreActive Report,2010.01~2010.12,2012,생활용품
110,2010 SK에너지 지속가능성보고서,2010.01~2010.12,2012,석유 및 가스
111,2010 STX중공업 지속가능경영보고서,2010.01~2010.12,2012,Other
112,2010 STX팬오션 지속가능경영보고서,2010.01~2010.12,2011,종합식품
113,2010 국립공원관리공단 지속가능성 보고서,2008.01~2010.12,2011,Public Agency
114,2010 대한항공 지속가능성 보고서,2009.01~2009.12,2010,Aviation
115,2010 두산인프라코어 지속가능경영보고서,2010.01~2010.12,2011,Constructions Materials
116,신한금융 2010 사회책임보고서,2010.01~2010.12,2011,Financial Services
117,2010 스포츠토토 사회책임보고서,2010.01~2010.12,2011,Tourism&Leisure
118,2010 아시아나항공 지속가능성 보고서,2009.01~2009.12,2010,Aviation
119,2010 장애인고용공단 지속가능경영보고서,2010.01~2010.12,2011,Public Agency
120,2010 지속가능경영 보고서 Korea EAST WEST Power,2009.01~2009.12,2010,Energy
121,2010 지속가능경영 보고서,2009.01~2009.12,2010,전기&전자 부품
122,2010 지속가능경영보고서 STX Metal,2010.01~2010.12,2012,Metals Products
123,2010 지속가능경영보고서 STX Offshore & Shipbuilding,2010.01~2010.12,2011,조선
124,2010 지속가능경영보고서,2007.01~2009.12,2010,"철도,지하철"
125,2010 지속가능경영보고서,2007.01~2009.12,2011,Energy
126,2010 지속가능경영보고서,2008.01~2010.06,2011,Technology Hardware
127,2010 지속가능경영보고서,2010.01~2010.12,2012,Public Agency
128,2010 지속가능사회를 위한 한국여성재단 연차보고서,2010.01~2010.12,2011,Non-Profit&Services
129,2010 지속가능성 보고서 THE ROAD TO SUSTAINABILITY,2009.01~2009.12,2010,Automotive
130,2010 지속가능성보고서,2009.01~2009.12,2011,백화점
131,2010 지속가능성보고서,2010.01~2010.12,2011,Energy
132,2010 포스코특수강 지속가능성보고서,2010.01~2010.12,2011,Metals Products
133,2010 하나은행 지속가능성보고서,2010.01~2010.12,2011,은행
134,2010 한전KPS 지속가능경영보고서,2009.01~2010.12,2012,종합식품
135,2010-2011 SAMSUNG LIFE INSURANCE SUSTAINABILITY REPORT,2010.04~2011.03,2012,Financial Services
136,2010-2011 현대엔지니어링 지속가능경영보고서,2010.01~2011.12,2012,Construction
137,2010~11 홈플러스 지속가능성보고서,2010.03~2011.02,2012,할인점
138,2011 Korean Air Sustainablility Report,2010.01~2010.12,2012,Aviation
139,2011 KORES Sustainability Value Report,2010.01~2010.12,2012,Public Agency
140,2011 KOTRA 지속가능경영보고서,2011.01~2011.12,2012,Public Agency
141,2011 KSPO 지속가능보고서,2011.01~2011.12,2012,Public Agency
142,2011 kt 지속가능경영보고서,2010.01~2010.12,2011,Telecommunications
143,2011 LG이노텍 지속가능보고서 BETTER TOMORROW,2010.01~2010.12,2012,Technology Hardware
144,2011 SK Telecom 지속가능경영보고서,2011.01~2011.12,2012,Telecommunications
145,2011 SK이노베이션 지속가능성보고서,2011.01~2011.12,2012,Energy
146,2011 STX그룹 지속가능경영 보고서,2011.1~2011.12,2012,Conglomerates
147,2011 STX에너지 지속가능경영보고서,2011.01~2011.12,2012,Energy
148,2011 STX중공업 지속가능경영보고서,2011.01~2011.12,2012,Other
149,2011 국립공원관리공단 지속가능성보고서,2009.01~2011.12,2012,Public Agency
150,2011 두산인프라코어 지속가능경영보고서,2011.01~2011.12,2012,Constructions Materials
151,2011 두산중공업 지속가능경영보고서,2011.01~2011.12,2012,Constructions Materials
152,2011 사립학교교직원연금공단 지속가능경영보고서,2010.01~2011.06,2011,Financial Services
153,2011 삼성엔지니어링 지속가능경영보고서,2011.01~2011.12,2012,Construction
154,2011 신한금융그룹 사회책임보고서,2011.01~2011.12,2012,Financial Services
155,2011 아세아시멘트 지속가능경영보고서,2011.01~2011.12,2012,Other
156,2011 아시아나항공 지속가능성 보고서,2010.01~2010.12,2011,Aviation
157,2011 에쓰-오일 지속가능성보고서,2011.01~2011.12,2012,Energy
158,2011 인선이엔티 지속가능경영보고서,2010.01~2011.12,2013,"철도,지하철"
159,2011 인천국제공항공사 사회책임경영보고서,2010.01~2010.12,2011,Public Agency
160,2011 중부발전 지속가능경영보고서,2009.01~2010.12,2012,Energy
161,2011 지속가능경영보고서 Korea EAST WEST Power,2010.01~2010.12,2012,Energy
162,2011 지속가능경영보고서,2010.01~2010.12,2012,Public Agency
163,2011 지속가능성보고서,2010.01~2010.12,2012,백화점
164,2011 지속가능성보고서,2011.01~2011.12,2012,Conglomerates
165,2011 포스코특수강 지속가능성보고서,2011.01~2011.01,2012,Metals Products
166,2011 풀무원 지속경영보고서,2011.01~2011.12,2012,Food and Beverage Products
167,2011 한국환경공단 지속가능경영보고서,2010.01~2011.12,2012,Public Agency
168,2011 호남석유화학 지속가능경영보고서,2011.01~2011.12,2012,Chemicals
169,2011-2012 LG디스플레이 지속가능경영보고서,2011.01~2011.12,2012,Equipment
170,2011-2012 지속가능경영보고서,2011.01~2011.12,2012,Consumer Durables
171,2011-2012 한국교직원공제회 지속가능경영보고서,2011.01~2012.12,2014,Others
172,2011~12 교통안전공단 지속가능경영보고서,2010.01~2012.12,2013,Public Agency
173,2011~12 홈플러스 지속가능성보고서,2011.03~2012.02,2013,할인점
174,2011~2012 지식경제부 지속가능보고서,2011.01~2011.12,2013,"철도,지하철"
175,2011~2012 한국광해관리공단 지속가능경영보고서,2011.01~2011.12,2012,Public Agency
176,2011~2012 한국마이크로소프트 기업시민활동 보고서,2011.01~2012.12,2013,Computers
177,2011년 웅진씽크빅 지속가능경영 보고서,2011.01~2011.12,2012,환경가전
178,2012 aT Sustainability Report,2012.01~2012.12,2013,Public Agency
179,2012 KB금융그룹 지속가능경영보고서,2012.01~2012.12,2013,Financial Services
